"epoch","Depthwise lenet WDA - test_acc","Depthwise lenet WDA - test_acc__MIN","Depthwise lenet WDA - test_acc__MAX","Depthwise lenet WDA - _step","Depthwise lenet WDA - _step__MIN","Depthwise lenet WDA - _step__MAX"
"290","0.6590909361839294","0.6590909361839294","0.6590909361839294","580","580","580"
"291","0.7294580340385437","0.7294580340385437","0.7294580340385437","582","582","582"
"292","0.7456293702125549","0.7456293702125549","0.7456293702125549","584","584","584"
"293","0.7434440851211548","0.7434440851211548","0.7434440851211548","586","586","586"
"294","0.7399475574493408","0.7399475574493408","0.7399475574493408","588","588","588"
"295","0.681381106376648","0.681381106376648","0.681381106376648","590","590","590"
"296","0.7412587404251099","0.7412587404251099","0.7412587404251099","592","592","592"
"297","0.751748263835907","0.751748263835907","0.751748263835907","594","594","594"
"298","0.7473776340484619","0.7473776340484619","0.7473776340484619","596","596","596"
"299","0.746940553188324","0.746940553188324","0.746940553188324","598","598","598"
"300","0.7521852850914001","0.7521852850914001","0.7521852850914001","600","600","600"
"301","0.7351398468017578","0.7351398468017578","0.7351398468017578","602","602","602"
"302","0.7447552680969238","0.7447552680969238","0.7447552680969238","604","604","604"
"303","0.7504370808601379","0.7504370808601379","0.7504370808601379","606","606","606"
"304","0.7508741021156311","0.7508741021156311","0.7508741021156311","608","608","608"
"305","0.7460664510726929","0.7460664510726929","0.7460664510726929","610","610","610"
"306","0.7495629191398621","0.7495629191398621","0.7495629191398621","612","612","612"
"307","0.7360140085220337","0.7360140085220337","0.7360140085220337","614","614","614"
"308","0.7408216595649719","0.7408216595649719","0.7408216595649719","616","616","616"
"309","0.7268356680870056","0.7268356680870056","0.7268356680870056","618","618","618"
"310","0.743881106376648","0.743881106376648","0.743881106376648","620","620","620"
"311","0.7355769276618958","0.7355769276618958","0.7355769276618958","622","622","622"
"312","0.7403846383094788","0.7403846383094788","0.7403846383094788","624","624","624"
"313","0.7443181872367859","0.7443181872367859","0.7443181872367859","626","626","626"
"314","0.7425699234008789","0.7425699234008789","0.7425699234008789","628","628","628"
"315","0.7443181872367859","0.7443181872367859","0.7443181872367859","630","630","630"
"316","0.6988636255264282","0.6988636255264282","0.6988636255264282","632","632","632"
"317","0.6000874042510986","0.6000874042510986","0.6000874042510986","634","634","634"
"318","0.690996527671814","0.690996527671814","0.690996527671814","636","636","636"
"319","0.6140734553337097","0.6140734553337097","0.6140734553337097","638","638","638"
"320","0.7277097702026367","0.7277097702026367","0.7277097702026367","640","640","640"
"321","0.7408216595649719","0.7408216595649719","0.7408216595649719","642","642","642"
"322","0.7294580340385437","0.7294580340385437","0.7294580340385437","644","644","644"
"323","0.751311182975769","0.751311182975769","0.751311182975769","646","646","646"
"324","0.7307692170143127","0.7307692170143127","0.7307692170143127","648","648","648"
"325","0.7434440851211548","0.7434440851211548","0.7434440851211548","650","650","650"
"326","0.7508741021156311","0.7508741021156311","0.7508741021156311","652","652","652"
"327","0.7478147149085999","0.7478147149085999","0.7478147149085999","654","654","654"
"328","0.7041084170341492","0.7041084170341492","0.7041084170341492","656","656","656"
"329","0.7338286638259888","0.7338286638259888","0.7338286638259888","658","658","658"
"330","0.7447552680969238","0.7447552680969238","0.7447552680969238","660","660","660"
"331","0.7495629191398621","0.7495629191398621","0.7495629191398621","662","662","662"
